100,101
103,103
105,105
108,104
110,103
112,103.5
115,104
117,104.5
120,105
122,105.5
125,106
128,105
130,104
132,106
135,108
137,109
140,110
142,112
145,115
148,119
150,124
152,122
155,120
157,120.5
160,121
162,120
165,118
168,121
170,122
175,125
177,130
180,135
183,134
185,133
188,135
190,138
192,139
195,140
198,142
200,145
203,144.5
205,144
207,152
210,160
213,159
215,160
218,165
220,168
223,171
225,175
228,181
230,187
232,195
235,204
238,214
240,225
243,223
245,220
247,228
250,236
252,248
255,260
258,295
260,335
263,323
265,310
267,312
270,315
273,314
275,313
278,310
280,315
